BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,IMOEX,2024-05-02,Индекс МосБиржи,Индекс МосБиржи,3442.83,3470.87,3477.42,3439.58,56777352917.19,0,0,2,6074221601871.074,RUB,1764312998.5761,3,,2024-05-02,
SNDX,IMOEX,2024-05-03,Индекс МосБиржи,Индекс МосБиржи,3441.77,3443.49,3450.43,3424.63,49713350092.54,0,0,2,6072366944742.428,RUB,1764312998.5761,3,,2024-05-03,
SNDX,IMOEX,2024-05-06,Индекс МосБиржи,Индекс МосБиржи,3436.05,3441.7,3444.11,3418.47,68474003787.1,0,0,2,6062269340351.875,RUB,1764312998.5761,3,,2024-05-06,
SNDX,IMOEX,2024-05-07,Индекс МосБиржи,Индекс МосБиржи,3427.61,3405.82,3428.37,3405.82,62217301713.07,0,0,2,6047370457422.31,RUB,1764312998.5761,3,,2024-05-07,
SNDX,IMOEX,2024-05-08,Индекс МосБиржи,Индекс МосБиржи,3432.54,3431.84,3438.75,3430.1,50959000936.27,0,0,2,6056080535056.872,RUB,1764312998.5761,3,,2024-05-08,
SNDX,IMOEX,2024-05-10,Индекс МосБиржи,Индекс МосБиржи,3449.78,3438.5,3452.33,3438.5,30875827113.66,0,0,2,6086493563201.319,RUB,1764312998.5761,3,,2024-05-10,
SNDX,IMOEX,2024-05-13,Индекс МосБиржи,Индекс МосБиржи,3457.11,3459.05,3465.62,3448.5,62379274951.03,0,0,2,6099430556008.498,RUB,1764312998.5761,3,,2024-05-13,
SNDX,IMOEX,2024-05-14,Индекс МосБиржи,Индекс МосБиржи,3463.93,3465.83,3468.28,3457.31,60647234066.33,0,0,2,6111462042305.668,RUB,1764312998.5761,3,,2024-05-14,
SNDX,IMOEX,2024-05-15,Индекс МосБиржи,Индекс МосБиржи,3470.72,3466.35,3476.49,3462.86,88168220628.54,0,0,2,6123429254503.529,RUB,1764312998.5761,3,,2024-05-15,
SNDX,IMOEX,2024-05-16,Индекс МосБиржи,Индекс МосБиржи,3486.26,3480.48,3490.77,3477.85,64512839673.38,0,0,2,6150859121812.372,RUB,1764312998.5761,3,,2024-05-16,
SNDX,IMOEX,2024-05-17,Индекс МосБиржи,Индекс МосБиржи,3501.89,3495.25,3506.91,3490.17,67229233018.49,0,0,2,6178424218434.928,RUB,1764312998.5761,3,,2024-05-17,
SNDX,IMOEX,2024-05-20,Индекс МосБиржи,Индекс МосБиржи,3468.09,3516.4,3521.72,3468.09,78261180618.47,0,0,2,6118798632792.729,RUB,1764312998.5761,3,,2024-05-20,
SNDX,IMOEX,2024-05-21,Индекс МосБиржи,Индекс МосБиржи,3428.38,3447.25,3460.19,3409.92,90881736070.67,0,0,2,6048734782839.823,RUB,1764312998.5761,3,,2024-05-21,
SNDX,IMOEX,2024-05-22,Индекс МосБиржи,Индекс МосБиржи,3444.64,3433.36,3449.43,3433.36,54366679137.33,0,0,2,6077426290288.004,RUB,1764312998.5761,3,,2024-05-22,
SNDX,IMOEX,2024-05-23,Индекс МосБиржи,Индекс МосБиржи,3442.79,3436.81,3444.79,3407.41,76066732376.7,0,0,2,6074162090779.057,RUB,1764312998.5761,3,,2024-05-23,
SNDX,IMOEX,2024-05-24,Индекс МосБиржи,Индекс МосБиржи,3396.5,3438.65,3442.36,3377.64,83826261455.52,0,0,2,5992483767839.743,RUB,1764312998.5761,3,,2024-05-24,
SNDX,IMOEX,2024-05-27,Индекс МосБиржи,Индекс МосБиржи,3299.22,3384.74,3392.99,3298.21,107526898028.24,0,0,2,5820854757293.982,RUB,1764312998.5761,3,,2024-05-27,
